t,value
0,-0.70756197
1,-0.4278648
2,-0.42351794
3,-0.61417973
4,-0.27107847
5,-0.14052308
6,-0.49171847
7,-0.51764965
8,-0.18474102
9,-0.56006896
10,-0.3346324
11,-0.25234205
12,-0.32923627
13,-0.611032
14,-0.5297909
15,-0.5453796
16,-0.5359365
17,-0.4481001
18,-0.094056785
19,-0.23390538
20,-0.6048864
21,-0.58405155
22,-0.59124637
23,-0.54792774
24,-0.3638612
25,-0.060631037
26,-0.20962298
27,-0.5725099
28,-0.5857004
29,-0.54403055
30,-0.5524245
31,0.22880912
32,-0.07891774
33,-0.027055383
34,-0.61987555
35,-0.35531735
36,-0.3275875
37,-0.49426663
38,-0.3422768
39,-0.3188938
40,-0.54807764
41,-0.0057708025
42,-0.61313045
43,-0.43341076
44,-0.3968373
45,-0.36041367
46,-0.004271865
47,-0.12088734
48,-0.51989806
49,-0.36625946
50,-0.38934273
51,-0.20677507
52,0.20047975
53,0.41737247
54,-0.079817116
55,-0.5467286
56,-0.5536236
57,-0.54822755
58,-0.5624672
59,0.112493515
60,-0.24035072
61,-0.17919505
62,-0.61343026
63,-0.4133253
64,-0.5145019
65,-0.48392415
66,-0.2081241
67,-0.28172076
68,-0.42621595
69,-0.07517046
70,-0.58030427
71,-0.40028477
72,-0.45424563
73,-0.26703137
74,0.1012516
75,-0.15806037
76,-0.53338826
77,-0.5320393
78,-0.5124035
79,-0.4777786
80,-0.30375475
81,0.08461368
82,-0.21741736
83,-0.5231956
84,-0.4133253
85,-0.44944912
86,-0.43401033
87,-0.329686
88,-0.008169055
89,-0.1952334
90,-0.008169055
91,-0.6507532
92,-0.54238176
93,-0.58809865
94,-0.45679379
95,-0.5133028
96,-0.45589447
97,-0.35591692
98,-0.4911189
99,-0.1746983
100,-0.3084014
101,-0.5224462
102,-0.096155286
103,-0.32713783
104,-0.62407255
105,-0.6255715
106,-0.6309675
107,-0.5910964
108,-0.4131754
109,-0.15326387
110,-0.31604582
111,-0.6254215
112,-0.6296185
113,-0.5922956
114,-0.5136026
115,-0.45604438
116,-0.21307051
117,-0.31094956
118,-0.5846511
119,-0.4133253
120,-0.04878962
121,-0.5050588
122,-0.3364311
123,-0.39893574
124,-0.49186838
125,-0.48767143
126,-0.4113767
127,-0.48512328
128,-0.47597992
129,0.26283443
130,-0.2994079
131,-0.5204976
132,-0.68897545
133,-0.70561343
134,-0.62437236
135,-0.64460766
136,-0.31349772
137,-0.21936595
138,-0.3568163
139,-0.5934947
140,-0.5827025
141,-0.5708611
142,-0.54223186
143,-0.39024204
144,-0.20857376
145,-0.28846586
146,-0.59934044
147,-0.550326
148,-0.5576707
149,-0.47373152
150,-0.3822978
151,-0.12193656
152,-0.5542232
153,-0.3499213
154,-0.056733847
155,-0.61028254
156,-0.43505955
157,-0.3431762
158,-0.51480174
159,-0.34662366
160,0.08971
161,-0.44420296
162,-0.2944615
163,-0.49051934
164,-0.12658322
165,-0.2060256
166,-0.34212697
167,-0.48722178
168,-0.4932174
169,-0.50311023
170,-0.41467434
171,-0.33688074
172,-0.21187139
173,-0.33583152
174,-0.5245447
175,-0.4641385
176,-0.52214646
177,-0.4374578
178,-0.401334
179,-0.2548902
180,-0.36640936
181,-0.2529416
182,-0.43640858
183,0.014164805
184,-0.23105747
185,-0.5895975
186,-0.23000824
187,-0.30060703
188,-0.44944912
189,-0.07187289
190,-0.5818032
191,-0.47852802
192,0.01221621
193,-0.279922
194,-0.36101323
195,-0.52859175
196,-0.47118336
197,-0.46548748
198,-0.5068575
199,-0.44720078
200,-0.2598366
201,-0.3170951
202,-0.49861348
203,-0.48317468
204,-0.48932022
205,-0.48497337
206,-0.4434535
207,-0.21651798
208,-0.3839466
209,-0.5143521
210,-0.47523046
211,-0.4884209
212,-0.28471857
213,-0.33598137
214,0.13647604
215,-0.62437236
216,-0.48182565
217,-0.15401334
218,-0.52874166
219,-0.45049834
220,-0.24139994
221,-0.5759574
222,-0.35246944
223,-0.18429136
224,-0.49816382
225,-0.51764965
226,-0.45559466
227,-0.41782206
228,-0.2662819
229,-0.38754404
230,-0.4824252
231,-0.48317468
232,-0.4325114
233,-0.42711532
234,-0.3614629
235,-0.1505658
236,-0.23735291
237,-0.45649403
238,-0.4618901
239,-0.39443904
240,-0.31844413
241,-0.27482575
242,-0.161358
243,-0.5260436
244,0.019560814
245,-0.042943835
246,-0.583452
247,-0.54148245
248,-0.31544626
249,-0.51480174
250,-0.43580902
251,-0.5777561
252,-0.41197628
253,-0.09960276
254,-0.55797046
255,-0.41992056
256,-0.116390586
257,-0.24874467
258,-0.5653151
259,0.024057627
260,-0.15791047
261,-0.44000596
262,-0.24274898
263,0.0039721727
264,-0.26013637
265,-0.5746084
266,-0.40268302
267,-0.49456644
268,-0.38304728
269,-0.36401105
270,-0.011916339
271,-0.24154985
272,-0.56471556
273,-0.5290414
274,-0.17394888
275,-0.23960125
276,-0.5750581
277,-0.48512328
278,-0.4950161
279,-0.48572284
280,-0.32458967
281,-0.536536
282,-0.47313195
283,-0.22805965
284,-0.4636888
285,-0.25908715
286,-0.576557
287,-0.5618676
288,-0.5740088
289,-0.5338379
290,-0.4346099
291,-0.092258096
292,-0.29296255
293,-0.65105295
294,-0.65914714
295,-0.61522895
296,-0.58615005
297,-0.33807987
298,-0.06377876
299,-0.24664617
300,-0.6104324
301,-0.1079967
302,-0.41482425
303,-0.42651576
304,-0.4260661
305,-0.488271
306,-0.57340926
307,-0.50311023
308,-0.4726823
309,-0.40762943
310,-0.46608704
311,-0.4241175
312,-0.50161135
313,-0.3509705
314,-0.58225286
315,-0.51000524
316,-0.6162782
317,-0.58105373
318,-0.39368957
319,-0.05628419
320,-0.24424791
321,-0.626171
322,-0.5233456
323,-0.58195305
324,-0.2995578
325,-0.18489093
326,-0.008318961
327,-0.22041517
328,-0.5746084
329,-0.6030878
330,-0.6183767
331,-0.58899796
332,0.08851087
333,-0.06048113
334,-0.18414146
335,-0.4570936
336,-0.35726595
337,-0.4083789
338,-0.50355995
339,-0.26673162
340,-0.37630218
341,-0.5264933
342,-0.5261935
343,-0.087311685
344,-0.611032
345,-0.49141872
346,-0.3482725
347,0.083414555
348,-0.11069471
349,-0.46039122
350,-0.41587347
351,-0.3773514
352,-0.31559616
353,-0.20542604
354,0.30465412
355,0.16150796
356,-0.28531814
357,-0.23480475
358,-0.026006103
359,0.066027164
360,0.19778168
361,1.0
362,0.9280522
363,0.92205656
364,0.57595754
365,-0.653751
366,-0.14397061
367,-0.119987965
368,-0.6897249
369,-0.45349622
370,-0.3440755
371,-0.60923326
372,-0.54223186
373,-0.5672637
374,-0.53638613
375,-0.26868016
376,-0.62886906
377,-0.6474556
378,-0.6456569
379,-0.6368133
380,-0.6407105
381,-0.5230458
382,-0.28696692
383,-0.3646106
384,-0.67233753
385,-0.60413694
386,-0.6492543
387,-0.61343026
388,-0.4902196
389,-0.204077
390,-0.37165552
391,-0.6048864
392,-0.60728467
393,-0.6042869
394,-0.61537886
395,-0.45829272
396,0.18893802
397,-0.31589597
398,-0.37765115
399,-0.66229486
400,-0.48752153
401,-0.5913962
402,-0.5939444
403,-0.48362434
404,-0.67053884
405,-0.29026455
406,-0.34197706
407,-0.591696
408,-0.5197482
409,-0.36730868
410,-0.11519146
411,-0.270329
412,-0.5952934
413,-0.5744585
414,-0.5384846
415,-0.4085288
416,-0.1796447
417,0.26987934
418,-0.010417402
419,-0.60608554
420,-0.6405606
421,-0.63366556
422,-0.58405155
423,-0.3772015
424,0.021059752
425,-0.6185266
